portfolio,website,year,emails,summary
Zipline,http://www.retailzipline.com/,15-Jan,"you@work.com
feedback@retailzipline.com
support@retailzipline.com",SaaS Solution that Drives Sales for National Retailers by Improving the Actionable Communication Between HQ and the Stores. Based on 10 Years of Research and Testing Around Store Operations and Performance.
3TEN8,http://www.3ten8.com/,14-Sep,"hhubbeling@stubbsalderton.com
info@3ten8.ai",Autonomous Networks. Using ML and AI to automate network operations.
Featherlight,http://www.featherlight.co/,14-Sep,"me@company.com
hello@workzeit.com",Performance Coaching Platform That Measures & Improves Employee Performance in Real-Time.
Freedcamp,https://freedcamp.com/,14-Sep,"legal+dataprotection@freedcamp.com
help@freedcamp.com
legal@freedcamp.com
sales@freedcamp.com
support@freedcamp.com",Web-Based Collaboration Platform that Consolidates Multiple Tools in One Place Under A Freemium Model.
Groove,http://www.grooveapp.com/,14-Sep,"contact@grooveapp.com
support@grooveapp.com",Quantified Sales. Groove Enables Companies to Collect Relationship Data and Use it to Improve Every Customer Interaction.
Ladera Labs,http://www.laderalabs.com/,14-Sep,,Internet-of-Things Company Focused on Home Automation (Nest for Irrigation).
MindOps,http://mindops.com/,14-Sep,,MindOps is the OS for Recognition on iOS Android Glass. We Have Created the First Deep Learning Based Neural Network for Text.
Perfect Price,http://perfectprice.io,14-Sep,,Price Optimization-as-a-Service Leveraging State of the Art Machine Learning.
Tyche,http://www.tycherisk.co/,14-Sep,,Machine Learning / Artificial Intelligence Legal Claim Valuation.
Xendo,https://xen.do/,14-Sep,,Cloud Search for Business.
3DPrinterOS,http://www.secured3d.com/,14-May,info@fiber.ee,First to Market – 3D Printing Cloud platform with Copyright Encryption and Centralized Command and Control.
BadgerMaps,https://www.badgermapping.com/,14-May,"support@badgermapping.com
dpo@badgermapping.com
pr@badgermapping.com",Mobile Service that Helps Sales People Fit More Meetings into their Day While Increasing the Flow of Data Back into their Company’s CRM System.
Domos Labs,http://www.domos.no/,14-May,"sales@domos.no
info@domos.no",Cloud-based Software for WiFi Routers that Make Connected Home Technology Seamless and Invisible.
Eventable,https://eventable.com/,14-May,"dpo@eventable.com
sales@eventable.com
support@apiary.io
tester@eventable.com
careers+sales@rockerbox.com
privacy@eventable.com
john@example.co
support@eventable.com
careers@rockerbox.com",Building the Event Layer for the Web. Our Tools and APIs Enable Brands and Organizations to Send Events to Any Calendar.
Matternet,http://mttr.net/,14-May,"press@matternet.us
business@matternet.us
contact@matternet.us",UAV Networks for the Transportation of Goods.
Mavin,http://www.mavin.co/,14-May,,Digital Media Platform That Enables Low Cost Mobile Data Plans for Prepaid Smartphone Users.
NeoReach,https://neoreach.com/,14-May,"team@neoreach.com
info@neo.dcode.ro
press@neoreach.com",NeoReach Allows Enterprise Companies to Scale Influencer Marketing Programs. Advertisers Can Buy Traffic Directly from Influencers Using A Cost-Per-Click Model.
Oomnitza,https://www.oomnitza.com/,14-May,"support@oomnitza.com
team@oomnitza.com",Mobile First Enterprise IT Asset Management Solution Focused on the Emerging Connected World That Helps Companies Better Track IT Assets and the Information on Them.
ShoppinPal,http://www.shoppinpal.com/,14-May,,Embeddable M-Commerce Platform that Captures Lost Sales for Brick & Mortar Retailers.
SupplyBetter,,14-May,,Custom mechanical part sourcing. Simplified
Waygum,http://waygum.io/,14-May,,Waygum Offers an End-to-End Mobile App Platform for the IOIT (Internet of Industrial Things or Industrial Internet).
AppSlingr,,14-Jan,,Brings Seamless Access to Desktop Apps from the Web Mobile or Tablet Devices and Integrates with Cloud File Storage Systems.
Assemblage,http://www.cisco.com/web/about/ac49/ac0/ac1/ac259/assemblage.html,14-Jan,"amnichol@cisco.com
ccromwel@cisco.com
bcamoens@cisco.com
sloenber@cisco.com
apoon@cisco.com
cacano@cisco.com
smartconnectedcity@cisco.com
shvaugha@cisco.com
brgong@cisco.com
lohastin@cisco.com
brekarr@cisco.com
mfaulkne@cisco.com
nstebbin@cisco.com
jolean@cisco.com
ralamont@cisco.com
ask-ciscosports@cisco.com
lgaleste@cisco.com
eboogert@cisco.com
rebarros@cisco.com
maokamot@cisco.com
cwoodrow@cisco.com
pgranger@cisco.com
kaakastu@cisco.com
kariscot@cisco.com
jdebutts@cisco.com
rutsanto@cisco.com
ablomqui@cisco.com
beculp@cisco.com
rebergma@cisco.com
connected_trans@cisco.com
carmjone@cisco.com
mpiramoo@cisco.com
rasgowda@cisco.com
jeabeyta@cisco.com
web-help@cisco.com
cdrogemu@cisco.com
aschoaf@cisco.com
allmurph@cisco.com
kmchale@cisco.com
sschucha@cisco.com",Real-time Collaboration with Extremely Simple One-Click Tools: Kollaborate.io Presentation.io and Same.io.
CirroSecure,,14-Jan,,Public Cloud Data Security Monitoring Analytics and Risk Remediation for Fortune 5000 Enterprises.
Drone.io,https://drone.io/,14-Jan,"hello@drone.io
sales@drone.io",Automated Software Delivery Using Docker.
Frontleaf,https://www.frontleaf.com/,14-Jan,"z-insights.support@zuora.com
info@frontleaf.com
hello@frontleaf.com
security@zuora.com
support@frontleaf.com",Actionable Insights To Reduce Customer Churn In The Subscription Economy.
Mohound,,14-Jan,,App Marketing Platform With ROI Analysis And Integrated Big-Data Analysis For Automated Decision Making.
PathDrugomics,http://www.pathdrugomics.com/,14-Jan,,Simulation Testing And Predictive Analytics PaaS For Early Stage Medical And Chemical Research.
Peer.im,,14-Jan,,Enterprise Messenger For Your Team And Your Customers.
Placements,http://placementsapp.com/,14-Jan,"legal@placements.io
edwin@placements.io",Painless Premium Ad Platform For Publishers.
rENIAC,http://www.reniac.com/,14-Jan,info@reniac.com,Solve Customer’s Need For Real-Time Analytics (FAST BIG DATA) By Moving Their Current Batch Processing To Real-Time Online Processing.
Sense.ly,http://sense.ly/,14-Jan,,Patient-frendly Tool That Helps Clinicians Better Manage Their Chronically Ill Patients.
Upshot,,14-Jan,,The Only Mobile Reporting App That Allows You To *Create* New Reports On Your Mobile Device.
Airpost,http://www.airpost.io/,13-Sep,,Cloud Security Management
BrightFunnel,http://www.brightfunnel.com/,13-Sep,"privacy@brightfunnel.com
support@brightfunnel.com
sales@brightfunnel.com
marketing@brightfunnel.com",“Splunk for CMOs” – Revenue Insights Across Marketing & CRM Data.
Discover.ly,http://discover.ly/,13-Sep,team@discover.ly,A Tool to Discover Opportunities in Your Connections Both Personal and Professional.
MXD 3D,http://mixeddimensions.com/,13-Sep,,Developing a Cross-Platform Modeling Tool for 3D Printing.
NextInput,http://www.nextinput.com/,13-Sep,"sales@nextinput.com
hr@nextinput.com
bueckeburg@spezial.com
investors@nextinput.com
sameer.bidichandani@nextinput.com
sales@meridiantech.com
pr@nextinput.com
info@spectrumfr-design.com
sales@edom.com.tw",3D Touch Technology for Next-Generation User Interfaces.
Omnistream,http://omnistream.co,13-Sep,,Mobile CRM for Luxury Retailers in China.
Skurun,http://skurun.com/,13-Sep,,Monetize Retail Surfaces.  Ad Exchange Connecting Advertisers with Retail Surfaces.  Leverages Mobile and Realtime Bidding.
Synata,http://synata.com,13-Sep,,World’s First Enterprise Cloud Search Engine.
Group Tie,,13-May,,Creating Group Relationship Management (GRM) to Help Enterprises Manage Large External Networks of People.
HealthCrowd,http://www.healthcrowd.com/,13-May,,Mobile Salesforce.com for Healthcare.
MindHelix,,13-May,,GPS-Based Mobile Security Application Helping Individuals Institutions and Governments Prevent Crime and Ensure Persistent Safety.
PlayVox,http://www.playvox.com/,13-May,"privacy@playvox.com
support@playvox.com
sales@playvox.com",Gamification Platform for Call Centers. Learning Coaching and Performance Platform Designed to Manage and Motivate People at Call Centers.
Relink,http://relink.no/,13-May,,Mobile Contact Management Solution
Seva Coffee,http://www.sevacoffee.com/,13-May,,Personalized Coffee – Hardware and Cloud Software Solution to Disrupt the Global $100B/yr Coffee Market and Create a New Consumer Coffee Drinking Experience Where Every Cup of Coffee is Personalized to Every Consumer. The Best Cup of Coffee Created by You to Your Taste.
Wise.io,http://about.wise.io/,13-May,,Machine Intelligence Solutions for Big Data Enterprise.
Chronon Systems,http://chrononsystems.com/,Mar-13,,"Flight Data Recorder Technology that Captures the Entire Execution of JVM and Replaces the Need for Traditional Log Files."""
Eduora,,13-Mar,,"Learning Management System Focused First on the End-User: Unifying Disparate Campus Applications in One Interface Building Enterprise-Class University Products that Users Love."""
MightyHive,http://mightyhive.com/,Mar-13,"questions@mightyhive.com
apacsales@mightyhive.com
emeasales@mightyhive.com
customersuccess@mightyhive.com
privacy@mightyhive.com
pr@mightyhive.com",Consumer Marketing Automation – Automates Optimizes and Measures Advertising Cross-Channel Using Data that is Only Available to an Enterprise Class Application.
Purple,https://i.likepurple.com/,Mar-13,"sales@likepurple.com
support@likepurple.com
demo@likepurple.com",Mobile Customer Engagement Platform that Enables Businesses to Acquire and Engage Customers by Leveraging Apple’s Passbook and Other Upcoming Mobile Wallets.
Sourcery,https://getsourcery.com/,Mar-13,"jobs@sourcery.us
invoices@getsourcery.com
onboarding@getsourcery.com",Simplifying Sourcing and Ordering for Food Businesses. We Are Replacing Legacy Enterprise Software Systems with User-Friendly Cloud-Based and Mobile Applications Bringing the Food Industry into the 21st Century.
Stratio,http://www.stratiotechnology.com/,Mar-13,,First Portable Infrared Sensors at >1000x Lower Cost >6 Orders of Magnitude Lower Power and >4x Higher Resolution than Current Technology Enabling Personal Health Monitoring in Smartphones.
Tylr,http://www.tylrmobile.com/,Mar-13,,Enterprise-Ready Mobile Work Platform Connecting Familiar Tools Like Email With Relevant Data and Processes in Your Business.
Zipongo,http://www.zipongo.com/,Mar-13,,Payors Subscribe Members for Personalized Meal Plans Savings on Healthy Groceries and Rewards for Buying ‘GO’ Foods.
ActiveScaler,http://activescaler.com/,,,"Provides A Real-Time Secure and Scalable Connected Car Platform & API for Developers to Build Amazing Applications."""
Cambrian Genomics,http://cambriangenomics.com/,,,"DNA Laser Printer for Genome (Life) Synthesis."""
Connect Bright,,,,Advocacy Empowerment Platform for B2B Service Providers.
Jy Mob,http://jymob.com/,,support@jymob.com,Platform to Choose the Best People for Your Jobs.
MobileSpan,http://www.mobilespan.com/,,,Drop-In BYO Platform for Enterprises.
Selligy,,,,Mobile Service Helping Salespeople with their Primary Activity – Sales Meetings.
Send Task,http://getsendtask.com/,,,Next Gen Enterprise Task Management.
Social Pandas,http://www.socialpandas.com/,,,Social Selling Platform – Find & Close Sales Deals Faster via Social Networks.
Xockets,http://xockets.com/,,,Licenses Software and Hardware Designs Producing Scalable Faster and Future-Proof Data Centers for Machine Learning and Analytics.
